N,repeats,mean_ms,std_ms,min_ms,max_ms,samples_ms
64,30,0.17186546666666666,0.02847386667991805,0.154298,0.252941,0.155;0.155;0.155;0.155;0.155;0.155;0.253;0.199;0.155;0.155;0.155;0.216;0.222;0.198;0.155;0.165;0.154;0.155;0.155;0.187;0.217;0.155;0.155;0.225;0.179;0.155;0.154;0.154;0.154;0.155
128,30,1.3896316666666666,0.12502350843998772,1.2509,1.75457,1.364;1.302;1.273;1.429;1.451;1.280;1.509;1.433;1.317;1.353;1.617;1.330;1.334;1.414;1.383;1.273;1.388;1.333;1.539;1.403;1.452;1.268;1.755;1.349;1.319;1.350;1.281;1.251;1.259;1.681
256,30,11.159699999999999,0.5743291630991821,10.4263,12.6312,12.446;10.688;10.932;12.631;11.178;12.255;11.418;10.547;11.436;10.951;10.855;11.008;10.653;12.235;11.096;10.839;10.491;11.048;10.834;10.426;10.857;11.295;10.758;11.086;10.689;11.319;10.942;11.506;10.812;11.559
512,30,3919.9048666666667,14316.640262237659,147.038,56753.6,153.863;154.309;160.723;147.731;154.683;152.446;148.326;147.038;153.556;155.340;154.525;155.039;152.974;159.995;166.257;159.855;177.057;151.828;56753.600;56420.900;152.513;162.740;157.643;172.523;171.695;162.781;163.349;157.383;157.136;159.338
1024,30,12501.273333333333,22422.36776923503,1423.5,58090.7,1476.670;58090.700;54976.200;1797.790;58063.800;55105.900;1423.500;1440.580;1481.790;1454.270;1433.120;1476.230;1460.640;1467.040;58074.200;55118.300;1459.870;1481.100;1502.850;1462.720;1456.520;1480.290;1447.650;1484.380;1484.490;1493.750;1462.050;1546.490;1502.150;1433.160
2048,30,24796.796666666665,10497.550304237102,21310.7,80052.4,21310.700;21786.500;21413.100;21573.200;21727.900;21932.100;22268.700;22657.400;22830.400;23234.300;23453.200;24238.500;23504.100;22478.700;22644.900;22464.200;22551.400;22517.500;22466.300;22900.400;22792.900;22764.000;23107.200;22684.900;80052.400;26141.900;23216.300;22993.400;23890.900;26306.500
