N,threads,repeats,mean_ms,std_ms,min_ms,max_ms,samples_ms
512,12,30,44.89291,5.345515107745738,35.0227,52.1619,48.658;50.663;48.386;46.215;52.162;48.429;44.784;39.473;49.146;35.164;48.463;46.229;35.559;44.894;47.205;40.064;37.849;46.590;48.999;49.212;50.726;44.966;45.694;46.674;35.615;48.677;35.023;45.910;35.790;49.568
1024,1,30,5661.020333333334,13317.317441934194,2049.11,57154.1,2074.210;2054.680;2061.500;2083.380;2069.310;2101.590;2049.110;2082.600;2072.880;2132.960;2119.460;2066.510;2084.560;2107.030;2113.450;2346.070;2516.480;2496.190;2546.390;2462.610;2246.470;2066.130;57154.100;52018.800;2117.870;2134.750;2063.920;2146.570;2137.220;2103.810
1024,2,30,4732.059666666666,13573.836135575366,1079.13,55838.6,1165.970;1194.480;1153.740;1205.940;1143.100;1312.690;1100.630;1153.750;1137.840;1168.020;1251.350;1238.990;1129.890;1192.380;1111.730;1172.650;1122.930;1160.000;1155.730;1155.180;1079.130;1158.180;1150.550;55838.600;53468.700;1179.870;1145.890;1154.230;1156.100;1203.550
1024,4,30,2410.731133333333,9745.212509000175,587.514,54008.1,648.819;649.654;632.245;653.762;604.028;641.222;651.209;642.226;608.088;619.792;665.147;54008.100;615.802;617.329;621.389;669.607;638.652;637.848;602.897;647.471;631.613;657.171;587.514;597.747;587.588;654.096;621.792;649.240;641.477;618.409
1024,8,30,3991.257133333333,13772.304136133893,340.652,55029.4,381.787;382.223;360.183;372.924;55029.400;54280.700;363.367;340.652;377.904;363.968;384.814;374.115;406.852;400.568;381.290;367.590;351.985;365.527;373.110;364.650;374.980;393.379;367.038;351.725;374.513;370.093;352.501;366.712;377.905;385.259
1024,10,30,3942.5151,13782.414992212845,305.774,54964.7,315.528;322.569;307.045;316.729;312.097;317.750;330.998;317.288;312.016;330.904;329.316;318.950;318.215;306.106;314.506;337.791;321.274;379.735;311.776;305.774;320.009;319.337;327.467;317.364;54964.700;54323.000;320.339;323.321;317.266;316.283
1024,12,30,2124.6820666666667,9977.925999651334,284.043,54954.3,301.694;300.270;284.043;298.790;302.801;311.140;306.088;305.577;309.973;317.869;301.099;287.217;307.211;298.548;299.885;303.448;302.917;297.299;302.816;286.741;308.733;286.677;54954.300;316.212;300.628;314.678;311.215;321.784;300.604;300.205
2048,1,30,34124.37333333334,14024.09509620996,24420.0,85789.5,28894.600;29927.800;31745.800;29913.400;30018.500;85789.500;31547.400;30100.300;30411.500;30441.300;30556.500;85201.700;24420.000;30612.200;30731.900;31462.000;31260.600;31521.200;30624.600;30690.400;30378.400;30897.700;31040.000;30583.100;30744.100;31396.600;31563.900;30359.300;30321.000;30575.900
2048,2,30,29086.323333333334,18878.99383428455,17474.6,73424.3,18123.000;36154.100;17860.300;17799.100;17474.600;17924.400;18288.000;18499.700;17801.800;18085.200;73424.300;36491.500;72255.000;37155.400;18767.300;18186.500;18411.100;18203.500;17830.700;72035.000;36500.900;72687.500;37039.400;36748.700;18186.800;17982.400;17607.200;18804.500;18364.600;17897.200
2048,4,30,12478.789,9913.917595979123,9310.78,64832.6,11803.100;11496.300;10742.300;9802.170;10024.900;10401.900;10705.200;10944.600;64832.600;10153.100;9942.900;10754.100;10730.600;11321.100;9695.620;9757.100;10564.200;11766.100;10818.500;11231.900;10184.700;10188.500;11712.300;12003.000;10796.800;10011.700;9310.780;10029.300;11561.100;11077.200
2048,8,30,11193.722666666667,15550.743341399324,5843.4,60861.9,6129.550;5973.770;5890.530;5883.030;5948.760;5963.640;6279.530;6425.190;6305.320;6841.710;5920.100;5956.570;6013.940;6037.080;48766.200;6226.510;6102.000;60861.900;6366.030;6005.390;5995.780;60602.600;5843.400;6267.670;6599.900;6016.040;6427.410;6107.230;6012.330;6042.570
2048,10,30,8592.111333333334,10956.959464084517,5582.8,48906.1,5712.320;5768.750;5742.520;5718.490;5642.460;5789.020;5718.990;5880.310;5828.730;5665.400;48906.100;5669.640;5730.650;5688.460;5675.540;5582.800;48892.500;5838.020;5659.510;5877.570;5688.010;5642.950;5730.220;5612.460;5649.580;5718.000;5724.520;5644.930;5743.360;5621.530
2048,12,30,16527.833666666666,21057.517782675128,4397.3,59696.4,5874.530;5900.200;5906.480;6166.060;6000.350;5911.230;5940.060;48574.200;5879.080;6916.950;5390.050;59696.400;4707.680;4397.300;4537.820;4589.330;4605.680;4475.080;4557.380;59174.200;4634.820;4583.120;50048.500;4548.860;4559.840;4524.770;59128.300;49922.400;50053.000;4631.340
